Response ID,Time,CONSENTIMIENTO INFORMADO ,PBAT1,PBAT2,PBAT3,PBAT4,PBAT5,PBAT6,PBAT7,PBAT8,PBAT9,PBAT10,PBAT11,PBAT12,PBAT13,PBAT14,PBAT15,PBAT16,PBAT17,PBAT18,STOP1,STOP2,STOP3,STOP4,STOP5,HEALTH,VITAL1,VITAL2,VITAL3,NEED1,NEED2,NEED3,NEED4,NEED5,NEED6,Sexo,Grupo de edad,Clase Social,Ingresos Mensuales en el Hogar,Ocupación,Tamaño del Municipio,Nivel de estudios,Provincia,CCAA,Región,Áreas Nielsen
78,12/3/24,ACEPTO,50,1,96,50,1,3,51,97,0,50,50,3,50,2,94,50,50,50,51,50,75,71,4,Regular,50,50,98,99,96,50,2,98,1,Mujer,De 65 a 75 años,2-Media,3-Más de 3.000 €,No trabaja,De 50.000 a 200.000 hab,Superiores,"Palmas, Las",Canarias,Sur,Canarias
79,12/3/24,ACEPTO,76,63,72,75,45,55,100,69,69,63,68,100,60,75,69,62,73,69,69,63,63,74,68,Buena,63,81,74,67,35,71,34,64,56,Hombre,De 25 a 34 años,2-Media,1-Menos de 1.800 €,No trabaja,Más de 200.000 hab,Medios,Huelva,Andalucía,Sur,Sur
80,12/3/24,ACEPTO,72,40,70,69,81,70,94,100,23,94,75,31,75,30,87,81,4,80,31,55,83,30,29,Buena,71,73,74,41,40,71,18,80,68,Hombre,De 45 a 54 años,2-Media,1-Menos de 1.800 €,1-Trabaja,1-Menos de 50.000 hab,Superiores,Segovia,C. León,Centro,Centro
81,12/3/24,ACEPTO,28,25,51,65,73,36,38,28,90,82,18,67,34,75,51,32,51,67,39,58,69,58,69,Buena,41,40,40,20,81,51,75,51,72,Hombre,De 65 a 75 años,2-Media,1-Menos de 1.800 €,1-Trabaja,De 50.000 a 200.000 hab,Medios,Cádiz,Andalucía,Sur,Sur
82,12/3/24,ACEPTO,93,41,33,68,36,62,35,61,39,58,35,62,63,40,63,35,71,69,71,33,66,64,65,Buena,68,36,67,74,68,73,24,76,29,Mujer,De 25 a 34 años,3-Baja,1-Menos de 1.800 €,1-Trabaja,1-Menos de 50.000 hab,Medios,Madrid,Madrid,Centro,Centro
83,12/3/24,ACEPTO,100,0,100,0,50,100,100,100,80,30,100,0,100,0,100,100,0,0,0,60,80,0,0,Muy buena,100,100,100,100,0,100,0,100,0,Hombre,De 45 a 54 años,1-Alta,3-Más de 3.000 €,1-Trabaja,Más de 200.000 hab,Superiores,Madrid,Madrid,Centro,Centro
84,12/3/24,ACEPTO,50,90,75,84,68,43,86,75,13,79,25,58,50,51,89,84,57,59,61,70,72,59,55,Buena,35,35,59,42,50,58,56,73,39,Hombre,De 65 a 75 años,2-Media,3-Más de 3.000 €,1-Trabaja,Más de 200.000 hab,Medios,Navarra,Navarra,Norte,Norte
85,12/3/24,ACEPTO,81,15,82,89,18,82,20,84,97,80,77,16,80,76,84,82,12,10,80,85,82,88,21,Buena,51,51,48,82,84,84,18,87,32,Mujer,De 65 a 75 años,2-Media,1-Menos de 1.800 €,1-Trabaja,Más de 200.000 hab,Medios,Málaga,Andalucía,Sur,Sur
86,12/3/24,ACEPTO,55,0,36,41,36,53,27,60,25,60,38,30,62,36,39,33,60,39,8,0,0,0,0,Buena,62,59,69,62,29,69,66,71,31,Hombre,De 45 a 54 años,3-Baja,1-Menos de 1.800 €,1-Trabaja,1-Menos de 50.000 hab,Superiores,Cáceres,Extremadura,Sur,Centro
87,12/3/24,ACEPTO,83,85,87,90,90,97,93,94,94,92,93,94,80,90,92,83,88,89,89,87,73,64,72,Buena,88,80,77,83,78,69,78,77,74,Hombre,De 18 a 24 años,1-Alta,3-Más de 3.000 €,1-Trabaja,Más de 200.000 hab,Medios,Alicante,C. Valenciana,Este,Levante
88,12/3/24,ACEPTO,72,35,77,75,57,67,91,74,75,70,78,33,77,88,81,59,83,74,100,85,88,64,85,Regular,22,25,27,74,78,87,18,83,77,Hombre,De 45 a 54 años,2-Media,1-Menos de 1.800 €,1-Trabaja,Más de 200.000 hab,Superiores,Almería,Andalucía,Sur,Sur
89,12/3/24,ACEPTO,87,0,69,46,50,67,50,85,70,50,50,23,80,50,96,80,19,8,0,0,0,0,0,Buena,68,77,77,86,19,50,50,88,23,Hombre,De 65 a 75 años,1-Alta,3-Más de 3.000 €,No trabaja,De 50.000 a 200.000 hab,Superiores,Madrid,Madrid,Centro,Centro
